id,level,ae_pred_kcalmol,true_kcalmol,error_kcalmol,abs_error_kcalmol
AE-TAE140-110,M06-2X__Def2TZVPP,-110.27812633911864,-105.815,-4.463126339118645,4.463126339118645
AE-TAE140-102,M06-2X__Def2TZVPP,-309.32987687138717,-312.219,2.889123128612823,2.889123128612823
AE-TAE140-39,M06-2X__Def2TZVPP,-705.3087895597897,-705.605,0.2962104402103023,0.2962104402103023
AE-TAE140-13,M06-2X__Def2TZVPP,-380.23138672062197,-382.753,2.521613279378016,2.521613279378016
AE-TAE140-19,M06-2X__Def2TZVPP,-182.11630310429342,-183.913,1.7966968957065887,1.7966968957065887
AE-TAE140-65,M06-2X__Def2TZVPP,-501.9672500257754,-501.899,-0.06825002577539863,0.06825002577539863
AE-TAE140-50,M06-2X__Def2TZVPP,-436.8747455247034,-438.281,1.4062544752965778,1.4062544752965778
AE-TAE140-120,M06-2X__Def2TZVPP,-32.96406512940718,-39.042,6.07793487059282,6.07793487059282
AE-TAE140-7,M06-2X__Def2TZVPP,-192.4355730283561,-190.745,-1.6905730283560843,1.6905730283560843
AE-TAE140-87,M06-2X__Def2TZVPP,-409.1606101616048,-410.029,0.8683898383952169,0.8683898383952169
AE-TAE140-89,M06-2X__Def2TZVPP,-165.00332518832235,-165.128,0.12467481167763594,0.12467481167763594
AE-TAE140-138,M06-2X__Def2TZVPP,-129.4428567375417,-147.428,17.98514326245831,17.98514326245831
AE-TAE140-136,M06-2X__Def2TZVPP,-120.28251760269733,-126.385,6.10248239730268,6.10248239730268
AE-TAE140-34,M06-2X__Def2TZVPP,-413.82551863225234,-410.973,-2.852518632252327,2.852518632252327
AE-TAE140-112,M06-2X__Def2TZVPP,-151.61676651436437,-152.745,1.1282334856356329,1.1282334856356329
AE-TAE140-111,M06-2X__Def2TZVPP,-250.99910427790488,-260.621,9.621895722095104,9.621895722095104
AE-TAE140-46,M06-2X__Def2TZVPP,-438.0508971624491,-437.668,-0.38289716244906913,0.38289716244906913
AE-TAE140-116,M06-2X__Def2TZVPP,-104.48661664283965,-104.251,-0.2356166428396449,0.2356166428396449
